Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
08/11/2017 14:00,7484.76,7549.7,7462.01,7516.6,639.57,4803283.46,7510.17
08/11/2017 15:00,7514.5,7537.57,7480,7493.79,636.16,4772415.27,7501.95
08/11/2017 16:00,7493.86,7493.86,7421.39,7484.99,603.41,4496105.9,7451.13
08/11/2017 17:00,7484.86,7888,7474.81,7723.7,4508.72,34826870.59,7724.34
08/11/2017 18:00,7728.99,7739.55,7080.01,7342,4435.15,32874439.57,7412.25
08/11/2017 19:00,7342,7417.89,7177.77,7221.47,2349.37,17179720.21,7312.49
08/11/2017 20:00,7202.01,7343.95,7150,7269.94,1402.85,10140150.68,7228.27
08/11/2017 21:00,7270,7347,7225.13,7265.1,604.06,4401780.76,7287.01
08/11/2017 22:00,7257.6,7463.04,7257.6,7399.89,944.84,6972113.23,7379.13
08/11/2017 23:00,7400,7495.6,7347.91,7450.32,687.87,5116495.83,7438.13
09/11/2017 00:00,7465.06,7466.57,7295.43,7360,934.08,6886119.28,7372.08
09/11/2017 01:00,7360,7421.27,7276,7410.01,564.71,4149606.11,7348.23
09/11/2017 02:00,7410.01,7490,7350.01,7390.15,581.22,4314346.09,7422.93
09/11/2017 03:00,7385.56,7426.54,7338,7338,461.51,3398893.13,7364.8
09/11/2017 04:00,7338.01,7375.96,7290.5,7331.01,284.02,2081792.74,7329.69
09/11/2017 05:00,7340.01,7450,7340,7398.92,549.71,4066689.9,7397.92
09/11/2017 06:00,7398.99,7419.38,7347.91,7375.61,326.36,2408481.88,7379.72
09/11/2017 07:00,7375.61,7405.71,7353.13,7375.44,160.41,1183115.72,7375.4
09/11/2017 08:00,7389.76,7419.6,7161.8,7250,1626.94,11821437.14,7266.05
09/11/2017 09:00,7250,7275.16,7150,7233.3,828.74,5967033.37,7200.16
09/11/2017 10:00,7236.06,7265,7199.38,7221.43,696.5,5029281.62,7220.81
09/11/2017 11:00,7220.69,7220.69,7084.07,7130.75,1510.28,10778821.11,7136.98
09/11/2017 12:00,7127.72,7203.13,7061.2,7196.64,891.55,6341580.19,7112.98
09/11/2017 13:00,7200.28,7201,7123.7,7138.05,562.72,4032263.48,7165.73
09/11/2017 14:00,7138.04,7240.49,7125,7225.01,545.69,3919573.13,7182.81
09/11/2017 15:00,7232.27,7232.27,7131.81,7174,485.12,3483980.05,7181.63
